payment_id,customer_id,rental_id,amount,payment_date
16050,269,7,1.99,2017-01-24
16051,269,98,0.99,2017-01-25
16052,269,678,6.99,2017-01-28
16053,269,703,0.99,2017-01-29
16054,269,750,4.99,2017-01-29
16055,269,1099,2.99,2017-01-31
16056,270,193,1.99,2017-01-26
16057,270,1040,4.99,2017-01-31
16058,271,1096,8.99,2017-01-31
16059,272,33,0.99,2017-01-25
16060,272,405,6.99,2017-01-27
16061,272,1041,6.99,2017-01-31
16062,272,1072,0.99,2017-01-31
16063,273,122,3.99,2017-01-25
16064,273,980,0.99,2017-01-30
16065,274,147,2.99,2017-01-25
16066,274,208,4.99,2017-01-26
16067,274,301,2.99,2017-01-26
16068,274,394,5.99,2017-01-27
16069,274,474,2.99,2017-01-27
16070,274,892,4.99,2017-01-30
16071,275,336,2.99,2017-01-27
16072,276,736,3.99,2017-01-29
16073,276,860,10.99,2017-01-30
16074,277,308,6.99,2017-01-26
16075,278,1092,4.99,2017-01-31
16076,279,979,2.99,2017-01-30
16077,279,1019,0.99,2017-01-31
16078,280,1014,4.99,2017-01-31
16079,281,650,2.99,2017-01-28
16080,281,754,2.99,2017-01-29
16081,282,48,1.99,2017-01-25
16082,282,282,6.99,2017-01-26
16083,282,564,0.99,2017-01-28
16084,284,423,0.99,2017-01-27
16085,284,791,0.99,2017-01-29
16086,284,1145,6.99,2017-01-31
16087,286,81,6.99,2017-01-25
16088,287,498,0.99,2017-01-27
16089,287,655,2.99,2017-01-28
16090,287,964,2.99,2017-01-30
16091,288,93,3.99,2017-01-25
16092,288,427,6.99,2017-01-27
16093,288,503,4.99,2017-01-28
16094,288,565,5.99,2017-01-28
16095,290,160,2.99,2017-01-26
16096,291,54,4.99,2017-01-25
16097,291,747,4.99,2017-01-29
16098,291,1012,2.99,2017-01-31
16099,292,324,0.99,2017-01-26
16100,293,445,0.99,2017-01-27
16101,293,924,4.99,2017-01-30
16102,293,1034,8.99,2017-01-31
16103,294,595,1.99,2017-01-28
16104,295,371,3.99,2017-01-27
16105,296,162,4.99,2017-01-26
16106,296,511,5.99,2017-01-28
16107,296,869,4.99,2017-01-30
16108,296,956,2.99,2017-01-30
16109,297,143,0.99,2017-01-25
16110,297,954,3.99,2017-01-30
16111,298,383,3.99,2017-01-27
16112,299,332,5.99,2017-01-27
16113,299,606,8.99,2017-01-28
16114,300,457,0.99,2017-01-27
16115,300,780,3.99,2017-01-29
16116,300,1111,4.99,2017-01-31
16117,301,27,4.99,2017-01-25
16118,301,227,5.99,2017-01-26
16119,301,955,0.99,2017-01-30
16120,302,38,4.99,2017-01-25
16121,302,92,5.99,2017-01-25
16122,303,265,0.99,2017-01-26
16123,303,871,2.99,2017-01-30
16124,303,1050,4.99,2017-01-31
16125,304,135,10.99,2017-01-25
16126,304,415,0.99,2017-01-27
16127,304,937,2.99,2017-01-30
16128,305,69,2.99,2017-01-25
16129,306,375,3.99,2017-01-27
16130,306,672,6.99,2017-01-28
16131,307,413,4.99,2017-01-27
16132,307,535,4.99,2017-01-28
16133,307,614,1.99,2017-01-28
16134,307,970,6.99,2017-01-30
16135,308,589,3.99,2017-01-28
16136,309,218,6.99,2017-01-26
16137,309,723,0.99,2017-01-29
16138,310,104,0.99,2017-01-25
16139,311,274,5.99,2017-01-26
16140,311,544,6.99,2017-01-28
16141,311,952,2.99,2017-01-30
16142,311,990,3.99,2017-01-30
16143,311,1128,6.99,2017-01-31
16144,312,229,4.99,2017-01-26
16145,312,530,0.99,2017-01-28
16146,312,1049,4.99,2017-01-31
16147,312,1079,6.99,2017-01-31
16148,313,669,4.99,2017-01-28
16149,313,712,2.99,2017-01-29
16150,313,781,0.99,2017-01-29
16151,313,843,0.99,2017-01-29
16152,314,80,5.99,2017-01-25
16153,314,440,4.99,2017-01-27
16154,315,537,8.99,2017-01-28
16155,315,551,4.99,2017-01-28
16156,316,16,4.99,2017-01-24
16157,316,644,8.99,2017-01-28
16158,316,1065,1.99,2017-01-31
16159,317,107,6.99,2017-01-25
16160,318,224,9.99,2017-01-26
16161,319,15,9.99,2017-01-24
16162,319,149,3.99,2017-01-25
16163,319,439,2.99,2017-01-27
16164,321,200,4.99,2017-01-26
16165,321,620,5.99,2017-01-28
16166,321,818,4.99,2017-01-29
16167,322,166,0.99,2017-01-26
16168,322,269,4.99,2017-01-26
16169,323,58,4.99,2017-01-25
16170,323,729,2.99,2017-01-29
16171,323,878,5.99,2017-01-30
16172,324,563,3.99,2017-01-28
16173,325,131,5.99,2017-01-25
16174,326,875,6.99,2017-01-30
